
--- onuAuthenSN ---
  gpon0/0/3/25: 48:57:54:43:06:15:30:20
  gpon0/0/3/26: 58:50:4F:4E:51:E2:6B:20
  gpon0/0/3/27: 48:57:54:43:38:6A:A5:53
  gpon0/0/3/28: 58:50:4F:4E:51:E2:6A:BA
  gpon0/0/3/29: 42:54:50:54:DD:2C:CD:81
  gpon0/0/3/30: 44:42:31:32:E6:DE:24:4F
  gpon0/0/3/31: 48:57:54:43:08:09:92:C0
  gpon0/0/3/32: 42:54:50:54:DD:34:18:FE
  gpon0/0/3/33: 44:42:31:32:E6:DE:26:B1
  gpon0/0/3/34: 44:42:31:32:E6:DE:28:6D
  gpon0/0/3/35: 44:42:31:32:E6:DE:23:85
  gpon0/0/3/36: HWTC8z|S
  gpon0/0/3/37: 44:42:31:32:E6:DE:28:3F
  gpon0/0/3/38: 48:57:54:43:11:23:35:20
  gpon0/0/3/39: 48:57:54:43:11:23:34:10
  gpon0/0/3/40: 42:54:50:54:DD:2C:DD:5F
  gpon0/0/3/41: 48:57:54:43:08:09:91:80
  gpon0/0/3/42: 44:42:31:31:6A:14:F7:E4
  gpon0/0/3/43: 42:54:50:54:DD:34:63:9E
  gpon0/0/3/44: 48:57:54:43:02:18:29:00
  gpon0/0/3/45: 48:57:54:43:9E:63:C9:D2
  gpon0/0/3/46: 48:57:54:43:9E:63:F1:0E
  gpon0/0/3/47: 48:57:54:43:00:DE:A1:B3
  gpon0/0/3/48: 54:44:54:43:35:1D:39:F0
  gpon0/0/3/49: 42:54:50:54:DD:34:6D:4A
  gpon0/0/3/50: 48:57:54:43:00:C6:D0:28
  gpon0/0/3/51: 43:44:54:43:1D:3A:56:7B
  gpon0/0/3/52: 42:54:50:54:DD:2B:A5:07
  gpon0/0/3/53: 48:57:54:43:A2:3A:27:5C
  gpon0/0/3/54: 48:57:54:43:5D:A0:2F:9B
  gpon0/0/3/55: 58:50:4F:4E:35:01:03:70
  gpon0/0/3/56: 48:57:54:43:B4:4C:D6:0C
  gpon0/0/3/57: 48:57:54:43:5D:30:BB:2F
  gpon0/0/3/58: 48:57:54:43:9E:82:21:18
  gpon0/0/3/59: 48:57:54:43:9E:84:E1:34
  gpon0/0/3/60: 48:57:54:43:B4:15:22:73
  gpon0/0/3/61: 41:4C:43:4C:F2:6D:14:AD
  gpon0/0/3/62: 43:44:54:43:1D:B2:57:36
  gpon0/0/3/63: 48:57:54:43:9E:61:E3:8A
  gpon0/0/3/64: 56:53:4F:4C:C8:D1:48:EE
  gpon0/0/3/65: 56:53:4F:4C:00:BE:7A:F3
  gpon0/0/3/66: 41:4C:43:4C:F2:DE:29:33
  gpon0/0/4/1: 48:57:54:43:07:22:35:C0
